date,open,high,low,close,volume
11/09/2020,10.35,11.89,10.35,11.89,0
11/10/2020,11.11,11.59,10.7,10.7,0
11/11/2020,10.0,10.15,9.63,9.63,0
11/12/2020,9.3,9.4,8.88,8.98,0
11/13/2020,8.87,9.15,8.72,8.91,0
11/16/2020,8.9,8.9,8.57,8.73,0
11/17/2020,8.69,9.5,8.61,9.14,0
11/18/2020,9.0,9.07,8.8,8.86,0
11/19/2020,8.81,8.92,8.71,8.74,0
11/20/2020,8.73,8.74,8.58,8.63,0
11/23/2020,8.58,8.68,8.55,8.63,0
11/24/2020,8.65,8.99,8.57,8.79,0
11/25/2020,8.75,8.79,8.59,8.59,0
11/26/2020,8.56,8.63,8.33,8.35,0
11/30/2020,8.38,8.59,8.36,8.43,0
12/02/2020,8.41,8.62,8.39,8.52,0
12/03/2020,8.49,8.87,8.43,8.76,0
12/04/2020,8.67,8.78,8.57,8.58,0
12/08/2020,8.39,8.47,8.35,8.39,0
12/09/2020,8.39,8.41,8.13,8.14,0
12/11/2020,7.97,8.02,7.63,7.74,0
12/14/2020,7.75,7.84,7.69,7.79,0
12/16/2020,7.89,7.96,7.71,7.71,0
12/18/2020,7.67,7.72,7.55,7.55,0
12/22/2020,7.49,7.5,7.15,7.2,0
12/23/2020,7.24,7.33,7.15,7.29,0
12/24/2020,7.24,7.29,6.96,6.97,0
12/28/2020,7.0,7.17,6.95,7.04,0
12/29/2020,7.04,7.25,7.01,7.15,0
12/30/2020,7.13,7.17,7.05,7.08,0
12/31/2020,7.08,7.17,7.07,7.14,0
